,Text,labels_encoded
322,Topical corticosteroids are widely used in the treatment of psoriasis.,8
323,This study was conducted to compare the efficacy and safety of clobetasol propionate (CP) 0.005% spray to calcipotriene 0.005%-betamethasome diproprionate 0.064% (C-BD) ointment in patients with moderate to severe plaque psoriasis.,17
324,"Assessments were made at baseline, week 2, week 4 (end of treatment) and week 8 (4 weeks posttreatment).",17
325,An assessment for Overall Disease Severity (ODS) found that 75% of CP spray-treated patients achieved a rating of clear or almost clear after 4 weeks of treatment compared to 45% of C-BD ointment-treated patients (P=.003).,2
326,Adverse events were reported by less than one-third of patients from each treatment group (31% for CP spray and 33% for C-BD ointment).,16
327,BACKGROUND: Few cost-effectiveness analyses have been conducted on topical therapies for atopic dermatitis.,3
328,OBJECTIVE: We sought to compare cost-effectiveness of high-potency topical corticosteroids (HPTCs) and tacrolimus ointment for the treatment of moderate to severe atopic dermatitis for patients who are not responsive to or not well controlled with mid-potency topical corticosteroids.,3
329,METHODS: A Markov model represented the cyclic nature of atopic dermatitis.,17
330,Clinical outcomes were derived from published literature.,17
331,"""Efficacy"" was defined as disease-controlled days on which patients experienced a greater than 75% improvement in their disease.",7
332,Resource use and changes in management were on the basis of opinions of a physician panel; secondary treatment was an oral antibiotic with topical corticosteroids.,5
333,Sensitivity analyses were conducted for all variables.,17
334,RESULTS: The model was sensitive to duration of continuous treatment with HPTCs.,7
335,"HPTCs, when limited to 2-week treatment cycles, were associated with the highest total costs ($1682 per year) and the least efficacy (185 disease-controlled days).",3
336,"HPTCs in 4-week treatment intervals and tacrolimus ointment were similar in total costs and efficacy ($1317 vs $1323 for 194 vs 190 disease-controlled days, respectively).",2
337,"Although primary drug costs were higher for patients treated with tacrolimus ointment, patients treated with regimens of HPTCs incurred higher secondary drug costs.",2
338,"CONCLUSION: In the base case analyses, tacrolimus ointment was more cost-effective than HPTCs administered in 2-week treatment cycles, and similar in cost-effectiveness to 4-week cycles of HPTCs.",3
339,A patient with warty dyskeratoma was successfully treated with tazarotenic acid gel.,7
340,We present evidence to support that this did not occur by chance and suggest that tazarotenic acid be investigated further for the treatment of similar dyskeratatic disorders.,5
341,Only a few corticosteroids for topical use have proven safe and effective in pediatric populations down to 3 months of age.,7
342,The authors report the results of a study designed to assess the efficacy and safety of hydrocortisone butyrate (HCB) 0.1% in lipocream (LCr) vehicle in infants and children.,17
343,"A total of 264 boys and girls 3 months to less than 18 years old, with stable, mild to moderate atopic dermatitis affecting at least 10% body surface area applied HCB 0.1% in LCr or LCr alone twice daily for up to 1 month without occlusion.",11
344,Primary end-points included: percent of patients who achieved treatment success based on physician global assessments.,17
345,Secondary endpoint included: difference in pruritus and Eczema Area and Severity Index (EASI) at day 29.,17
346,Treatment was significant (P < 0.001) for HCB 0.1% LCr over vehicle.,5
347,No serious nor significant adverse events were reported.,16
348,Results are representative of a short duration treatment for a chronic disease.,5
349,HCB 0.1% in LCr is more effective than its vehicle in pediatric populations down to 3 months of age without significant adverse events when used twice a day for up to 1 month.,2
350,The objective of this study was to compare the efficacy and safety of tacrolimus ointment and pimecrolimus cream in adults with moderate atopic dermatitis (AD).,2
351,"A randomized, investigator-blinded, 6-week, multicenter study enrolled patients (> or =16 years) with mild to very severe AD.",17
352,Patients with moderate AD at baseline were analyzed.,17
353,"At study completion, tacrolimus ointment-treated patients had significantly greater improvement in Eczema Area Severity Index score compared with pimecrolimus cream-treated patients (59% versus.",2
354,Significantly more tacrolimus ointment-treated patients than pimecrolimus cream-treated patients improved by 1 or more grades on the Investigators' Global Atopic Dermatitis Assessment (P<.02).,2
355,A total of 5 pimecrolimus cream-treated patients discontinued the study early due to lack of efficacy compared with no tacrolimus ointment-treated patients (P=.02).,2
356,"Overall, reported adverse events occurred at a similar frequency for both treatment groups.",16
357,Tacrolimus ointment is more effective than pimecrolimus cream in the management of adults with moderate AD.,2
358,"OBJECTIVE: Long-term, safe and effective therapeutic options for managing the chronic relapsing nature of atopic dermatitis are essential for improving patient quality of life.",5
359,"To minimize the risks of continued topical corticosteroid usage and potentially reduce the incidence of flares, we tested the efficacy and safety of a rotational paradigm of initial brief application of topical corticosteroid followed by long-term intermittent application of non-steroidal tacrolimus ointment to previously inflamed sites of dermatitis.",16
360,"METHODS: In this 2-phase study, patients who were 2 to 15 years of age and had moderate to severe atopic dermatitis were randomly assigned to 4 days of twice-daily double-blind therapy with either alclometasone ointment 0.05% or tacrolimus ointment 0.03% (Phase I acute), followed by up to 16 weeks of twice-daily open-label tacrolimus ointment 0.03% (Phase I short-term).",17
361,"Patients whose disease stabilized underwent new randomization to double-blind tacrolimus ointment 0.03% or vehicle applied once daily, 3 times per week to clinically normal-appearing skin for up to 40 weeks (Phase II).",17
362,Corticosteroid use was prohibited.,17
363,"RESULTS: Of 206 randomly assigned patients, 152 completed Phase I; 105 of 152 were randomly assigned into Phase II (68 tacrolimus ointment and 37 vehicle).",17
364,There were no differences in adverse events between alclometasone and tacrolimus (Phase I) or between tacrolimus and vehicle (Phase II).,2
365,"In the acute period, alclometasone-treated patients showed greater improvement in atopic dermatitis signs and symptoms; thereafter, when all patients applied tacrolimus ointment (short-term), there were no differences.",7
366,"In Phase II, tacrolimus-treated patients had significantly more disease-free days compared with vehicle, significantly longer time to first relapse, and significantly fewer disease relapse days.",2
367,"CONCLUSIONS: For patients with stabilized moderate to severe atopic dermatitis, long-term intermittent application of tacrolimus ointment to normal-appearing but previously affected skin was significantly more effective than vehicle at maintaining disease stabilization, with a safety profile similar to vehicle.",8
368,BACKGROUND: Many of the eczema cases seen by dermatologists involve the hands.,0
369,"The discomfort and embarrassment of hand dermatitis in any of its forms may compromise a patient's quality of life, causing frustrated attempts to identify the cause of the disease and engendering disappointment with treatment failures.",10
370,"METHODS: The authors assessed the severity scores for each patient, personal and familial histories of atopy, coexisting conditions, triggers of irritation, types of treatments, and their success rates.",18
371,The authors administered a comprehensive survey to 50 consecutive patients presenting with eczematous dermatitis on the ventral aspect of the hands.,17
372,"The authors used a novel hand eczema severity index and a questionnaire that assessed personal and familial histories of atopy as well as coexisting conditions, triggers, and sources of irritation; types of treatments employed; and success rates.",18
373,Patients were also encouraged to complete a composite quality of life assessment.,17
374,"RESULTS: Results reveal a high frequency of personal and familial atopy, a 58% prevalence of contact allergy, a 67.4% history of hay fever, 25.6% cases of asthma, and a 44% incidence of fungal infection, which was one of the most common coexisting conditions.",10
375,CONCLUSIONS: Both topical immunomodulators and topical corticosteroid therapy treatments demonstrated an impressive efficacy.,5
376,An overlap should be considered when clinical symptoms and histological results vacillate between psoriasis and eczema.,10
377,BACKGROUND: MAS063DP (Atopiclair) is a topical cream approved for symptomatic relief in the treatment of atopic and contact dermatitis.,8
378,"METHODS: This was a multicenter, randomized, double-blind, vehicle-controlled study in adults with mild-moderate atopic dermatitis.",17
379,Patients were given MAS063DP or vehicle (2:1) three times per day to areas affected by atopic dermatitis for up to 50 days.,6
380,"A patient global assessment change from baseline was determined at days 8, 22, 36, and 50.",17
381,Patient total body pruritus (visual analog scale) and patient opinion on treatment acceptability were also assessed.,17
382,"RESULTS: A total of 218 patients (active: n = 145, vehicle: n = 73) were enrolled.",17
383,"At Day 22, 77% of patients on MAS063DP had a patient global assessment of good improvement or better versus 21% on vehicle (p<0.0001, chi-squared test).",2
384,"Similarly, more patients had improvement in itch over their total body on MAS063DP than on vehicle (p<0.0001).",2
385,CONCLUSION: MAS063DP treatment results in patient-perceived improvements in mild-moderate atopic dermatitis.,7
386,INTRODUCTION: Recent advances in molecular biology have helped establish differences between psoriasis and a group of inflammatory skin disorders commonly referred to as eczema.,10
387,"The authors have observed significant overlap between these two conditions such that a distinction between them may not always be made, even with histologic examination of skin biopsy specimens.",10
388,OBJECTIVE: To determine how frequently psoriasis patients present features of both psoriasis and eczema.,18
389,METHODS: The authors conducted a prospective analysis of 100 consecutive psoriasis patients in their clinic.,17
390,"RESULTS: The authors found that 20% could be diagnosed as ""intermediate,"" having lesions with characteristics of both psoriasis and eczema, or a personal history of both.",18
391,"The authors suggest naming this category of inflammatory dermatosis ""PsEma""--an overlap condition in which the clinical, histologic, molecular, biologic, and therapeutic responses show characteristics of both psoriasis and eczema.",10
392,OBJECTIVE: To compare the efficacy and safety of tacrolimus ointment 0.1% and pimecrolimus cream 1% in adult patients with moderate to very severe atopic dermatitis (AD).,7
393,"METHODS: A total of 281 patients (141 treated with tacrolimus and 140 treated with pimecrolimus) were randomized to a multicenter, investigator-blinded, 6-week study.",17
394,"RESULTS: Tacrolimus-treated patients had significantly greater improvements in the Eczema Area Severity Index score compared with pimecrolimus-treated patients (mean percent reduction from baseline to study end: 57% vs 39%, respectively; p=0.0002).",2
395,"Treatment success was also significantly greater among the tacrolimus-treated patients compared with pimecrolimus-treated patients (40% vs 22% at study end; p=0.001), as was the improvement in percentage of total body surface area affected (a reduction of 49% vs 34% at study end; p=0.01).",2
396,Both treatment groups had similar improvements in patient assessment of itch.,7
397,"There were no significant differences in the incidences of adverse events, including application-site burning and application-site pruritus, the two most commonly reported adverse events.",16
398,"Significantly more pimecrolimus-treated patients than tacrolimus-treated patients withdrew from the study due to lack of efficacy (10 vs 1, p=0.005).",2
399,CONCLUSION: Tacrolimus ointment is more effective than pimecrolimus cream in adults with moderate to very severe AD.,7
400,Both agents have a similar safety profile.,16
401,BACKGROUND: MAS063DP cream has received marketing authorization in the US and the European Union for symptom relief of atopic dermatitis (eczema) and contact dermatitis.,8
402,"DESIGN: A multicenter, randomized, vehicle-controlled, phase IV study was completed in the US.",17
403,METHODS: 218 patients aged 18 to 84 years joined this 50-day study.,11
404,Patients self-administered MAS063DP cream (N=145) or vehicle cream (N=73) 3 times per day to affected areas and those areas prone to be affected.,6
405,"The primary endpoint for efficacy was the change in EASI at Day 22 of treatment, comparing the 2 treatment groups.",17
406,"Secondary outcomes included EASI scores at other time points, IGA, pruritus (100mm VAS), % BSA, and the need for rescue medication.",17
407,RESULTS: MAS063DP was statistically (p<.0001) more effective than vehicle in all outcomes at all time points.,2
408,The incidence of rash was 2.1% in the MAS063DP group versus 5.5% in the vehicle group.,2
409,Only 2 patients discontinued MAS063DP due to an adverse event.,16
410,CONCLUSION: MAS063DP cream was confirmed to be a safe and effective treatment for mild to moderate atopic dermatitis in adults.,8
411,"Atopic dermatitis is a common, chronic, relapsing inflammatory skin disease frequently affecting infants and children.",10
412,The worldwide prevalence of atopic dermatitis is estimated to be 5--20% of the paediatric population.,10
413,"First-line therapy has generally consisted of dry skin care, avoidance of triggers, application of topical corticosteroids, and administration of antihistamines and oral antibacterials.",5
414,"Topical corticosteroids improve the lesions of atopic dermatitis; however, concern on the part of physicians and patients regarding adverse effects has led to reluctance to utilise topical corticosteroids early and especially for prolonged periods.",7
415,"Topical immunomodulators (TIMs), including tacrolimus ointment and pimecrolimus cream, were recently introduced for the treatment of atopic dermatitis.",8
416,"Clinical data show that TIMs are effective in atopic dermatitis, yet do not cause the significant adverse effects associated with topical corticosteroids.",7
417,"Questions remain regarding the place of TIMs as a treatment for atopic dermatitis and how to use them most effectively, from both therapeutic and pharmacoeconomic standpoints.",19
418,"Specifically, two major issues remain unresolved: (i) how TIMs measure up to other therapies, especially topical corticosteroids; and (ii) how members of the TIM drug class compare against each other.",19
419,Previous research has established that atopic dermatitis has a significant impact on quality of life (QOL) and carries a substantial economic burden.,3
420,Some studies have also measured the utility of various atopic dermatitis disease states.,17
421,"While there is a need for further research, early economic studies provide evidence that TIMs positively affect the QOL of patients and families.",7
422,"In certain patients, TIMs may be cost effective and have an acceptable incremental cost utility compared with topical corticosteroids.Making cost-effectiveness comparisons between tacrolimus and pimecrolimus is challenging because there are limited head-to-head comparative data.",2
423,"Given currently available efficacy data, the results of one study suggest that tacrolimus may be more cost effective than pimecrolimus in paediatric patients with moderate atopic dermatitis.",2
424,The full economic and QOL benefits of both agents are yet to be completely understood.,19
425,"The studies reviewed herein are the first to delineate the pharmacoeconomic benefits of TIMs in atopic dermatitis, and lay the foundation for future analyses.",7
426,TIMs represent an exciting advance in the treatment of atopic dermatitis.,8
427,Additional research will help determine the proper place of TIMs among the current array of therapeutic options for atopic dermatitis.,5
428,Androgenetic alopecia (AGA) is a persistent and pervasive condition that affects men worldwide.,10
429,"Some common treatment options for AGA include hair prosthetics, oral and topical medications, and surgical hair restoration (SHR).",5
430,Pharmaceutical and SHR treatments are associated with limitations including adverse side effects and significant financial burden.,16
431,Low-level laser or light (LLL) devices offer alternative treatment options that are not typically associated with adverse side effects or significant costs.,5
432,There are clinic- and home-based LLL devices.,5
433,"One home-based laser comb device has set a standard for others; however, this device requires time devoted to carefully moving the comb through the hair to allow laser penetration to the scalp.",5
434,A novel helmet-like LLL device for hair growth has proven effective in preliminary trials and allows for hands-free use.,7
435,"Regardless, there are few clinical trials that have been conducted regarding LLL devices for AGA and results are mixed.",17
436,Further research is required to establish the true efficacy of these devices for hair growth in comparison to existing alternative therapies.,19
437,Detailed visualization of the skin in the practice of dermatology is key to a comprehensive examination and accurate diagnosis.,18
438,"Advancements in digital dermoscopy, microscopy, imaging and photography have formed an impressive arsenal with which dermatologists can offer state-of-the-art patient care while streamlining their clinical practice and improving their academic and research capacities.",18
439,"Many types of advanced imaging are used in the biologic sciences at the bench; however, our paper reviews the clinical, noninvasive in vivo human applications of these emerging technologies.",18
440,"Topical retinoids offer highly effective treatment for both inflammatory and non-inflammatory acne, with tazarotene demonstrating greater efficacy than other topical retinoids.",7
441,"A multicenter, double-blind, randomized, parallel-group trial has been performed to evaluate whether the adjunctive use of clindamycin/benzoyl peroxide could enhance the efficacy of tazarotene still further.",17
442,Patients with moderate to severe inflammatory acne applied tazarotene 0.1% cream each evening and were randomly assigned to morning applications of vehicle gel or a ready-to-dispense formulation of clindamycin 1%/benzoyl peroxide 5 % gel containing 2 emollients.,17
443,"Tazarotene/clindamycin/benzoyl peroxide achieved a significantly greater reduction in comedo count than tazarotene monotherapy and, among patients with a baseline papule plus pustule count of > or =25 (the median value), a significantly greater reduction in inflammatory lesion count.",2
444,The combination therapy was also at least as well-tolerated as tazarotene monotherapy.,16
445,The adjunctive use of clindamycin/benzoyl peroxide gel with tazarotene cream promotes greater efficacy and may also enhance tolerability.,7
446,Any improvements in tolerability could be due to the emollients in the clindamycin/benzoyl peroxide gel formulation.,16
447,BACKGROUND: Atopic dermatitis/eczema (AD/E) is a common disease.,10
448,Few studies have attempted to quantify the cost to third-party payers.,3
449,OBJECTIVE: Our purpose was to identify the annual cost of medical services and prescription drugs for the treatment of AD/E to private insurance and Medicaid payers in the United States.,3
450,METHODS: We used a retrospective study design employing claims data from 1997 and 1998 from a private insurer and a state Medicaid program to analyze costs incurred.,17
451,"Beneficiaries were considered to have AD/E if they had at least one claim in 1997 with a primary or secondary listing of 1 of 3 diagnosis codes: 691.8, other atopic dermatitis and related conditions; 692.9, contact dermatitis and other eczema when no cause is specified; or 373.3, noninfectious dermatoses of eyelid.",10
452,Patients who did not meet the diagnosis criteria served as a control group in each payer for comparisons of expenditures with the AD/E group.,11
453,"RESULTS: Disease prevalence was 2.4% (private insurer) to 2.6% (Medicaid) of all eligible beneficiaries, and 3.5% to 4.1% of patients submitted at least one health care claim during the study period.",3
454,Medicaid-insured patients used outpatient hospital visits and hospitalizations at a greater rate than did privately insured patients; neither used emergency departments extensively.,2
455,The third-party payer cost of illness for AD/E ranged from $0.9 billion to $3.8 billion when projected across the total number of persons younger than 65 years insured by private insurers and Medicaid in the United States.,3
456,More than one fourth of all health care costs for patients with AD/E may be attributed to AD/E and co-morbid conditions.,3
457,"CONCLUSIONS: Annual costs of AD/E are similar to those of other diseases such as emphysema, psoriasis, and epilepsy.",3
458,Patients incur significant costs associated with AD/E and co-morbid conditions.,3
459,"Successful management of atopic dermatitis requires a multipronged approach that includes skin barrier function care, use of topical or systemic agents, and identification and elimination of precipitating or exacerbating factors.",5
460,"Because the origin of atopic dermatitis is multifactorial and trigger factors differ among patients, treatment plans must be specific to the individual patient.",5
461,"This article offers an example of a permutational, or flexible, treatment paradigm.",5
462,"The approach utilizes 4 topical regimens--high-potency topical corticosteroids, lowest effective potency topical corticosteroids, topical calcineurin inhibitors (TCIs), or topical corticosteroid/TCI combinations--as initial therapy in a variety of induction protocols, as determined by the severity of a patient's condition and history.",5
463,The paradigm permits treatment to progress from a chosen induction therapy to maintenance therapy.,5
464,"During the patient's induction therapy, as soon as an acceptable level of clearance is achieved, therapy should be adjusted to a maintenance regimen, such as monotherapy with either a TCI or a lowest effective potency topical corticosteroid (the latter used intermittently) or an alternation of the two agents.",5
465,"If there is no clearance or positive response with the initial induction protocol, the clinician should move to one of the alternative regimens.",5
466,"As the pathogenesis of psoriasis is better understood, specific targeted therapies are being developed.",10
467,"In addition to alefacept, etanercept, efaluzimab, and infliximab, discussed in separate articles in this issue, numerous other investigational therapies are currently in clinical trials, some of which will likely be approved in the future.",17
468,We review the most promising of these therapies and their mechanisms of action.,5
469,BACKGROUND: Nanoscale technology is rapidly being incorporated into medicine.,9
470,Nanodermatology concentrates on the use of nanomaterials (sized less than 1000 nm) on the skin.,9
471,This article gives basic descriptions of various nanomaterials currently used in dermatology.,9
472,METHODS: Studies retrievable through PubMed and other relevant literature from the nanotechnology industry pertaining to the use of nanoparticles in dermatology are reviewed.,17
473,The authors provide their insight into potential applications for skin conditions.,8
474,"RESULTS: Nanotechnology-based products and technology have a promising, inevitable future in medicine particularly in dermatology, such as prevention of disease, treatment, and imaging with less invasiveness.",9
475,"CONCLUSIONS: The advent of nanoparticles including nanostructured lipid particles and solid lipid nanoparticles, dendrimers, and quantum dots have already many cosmetic applications as well as great potential in dermatologic applications.",9
476,The DermLite II is an improvement on a previous instrument allowing for dermoscopy to be carried out without the need of immersion oil.,18
477,It consists of a magnifying lens encircled by light-emitting diodes that can be adjusted for polarization or can be customized by the manufacturer to produce colors of specific wavelengths for visualizing pigmentation and structures of various dermal depths.,18
478,"This new version of the DermLite makes it very convenient for the evaluation of not just pigmented lesions, but nonpigmented skin cancers, scalp disease, and vascular patterns.",18
479,It can be attached to a camera to record images and has a retractable faceplate for use with immersion oil.,18
480,Interleukin-1 (IL-1) is a potent inflammatory cytokine that plays a central role in the innate immune response.,10
481,"IL-1 mediates the acute phase of inflammation by inducing local and systemic responses, such as pain sensitivity, fever, vasodilation, and hypotension.",10
482,"It also promotes the expression of adhesion molecules on endothelial cells, which allows the infiltration of inflammatory and immunocompetent cells into the tissues.",10
483,"The release of IL-1 from the epidermis after activation is a primary event that promotes inflammatory skin conditions through the induction of various cytokines, proinflammatory mediators, and adhesion molecules.",10
484,BACKGROUND: Topical calcipotriene is frequently prescribed for the treatment of plaque-type psoriasis.,8
485,"Calcipotriene is currently available in the US as an ointment, a solution, a cream, and in a fixed-dose combination ointment with betamethasone dipropionate.",6
486,Calcipotriene 0.005% has recently been formulated as a foam using a novel aqueous-based formulation to provide a new topical treatment option for patients with psoriasis.,9
487,OBJECTIVE: The objective of this study was to evaluate the efficacy and safety of topical calcipotriene 0.005% foam for the treatment of mild to moderate plaque-type psoriasis.,7
488,"DESIGN: Two identical, randomized, double-blind, vehicle-controlled, 8-week phase III clinical trials.",17
489,"INTERVENTION: Subjects with plaque-type psoriasis affecting 2-20% of the body surface area, with an identifiable target lesion affecting the trunk or extremities, were randomized in a 2:1 ratio to calcipotriene foam (n = 437) or vehicle foam (n = 222).",11
490,Study medication was applied twice daily for 8 weeks.,6
491,OUTCOME MEASURES: Treatment success was defined as a score of 0 or 1 (clear or almost clear) on the Investigator's Static Global Assessment (ISGA) psoriasis rating scale and a minimum improvement of ISGA score of at least 2 grades from baseline.,17
492,"Predefined target lesions were assessed for erythema, scaling, and plaque thickness.",17
493,"Primary endpoint was the proportion of subjects in each treatment group who achieved treatment success after 8 weeks, analyzed on an intent-to-treat (ITT) basis.",5
494,"In the primary endpoint analysis, subjects missing 8-week outcomes data were classified as treatment failures regardless of their outcomes at earlier evaluations.",17
495,"As part of the sensitivity analysis, a last-observation-carried-forward (LOCF) approach to impute missing 8-week efficacy outcomes also examined treatment.",17
496,"Secondary endpoints included treatment success as a function of baseline ISGA score (mild or moderate), ISGA score of 0 or 1 (clear or almost clear), and effects of treatment on target lesion.",5
497,Adverse events (AEs) were recorded throughout the study.,17
498,"RESULTS: In the ITT population of Study 1, treatment success after 8 weeks was achieved by 14% of subjects in the calcipotriene foam group versus 7% of subjects in the vehicle foam group (p = 0.058).",2
499,"In the LOCF analysis, treatment success was achieved by more subjects with calcipotriene foam than with vehicle foam (15% vs 7%; p = 0.034).",2
500,"In Study 2, treatment success was achieved by more subjects in the calcipotriene foam group for the primary endpoint (27% vs 16%; p = 0.016) and the LOCF analysis (28% vs 16%; p = 0.010).",7
501,Subjects in the calcipotriene foam group exhibited better response rates than did the vehicle foam group for most of the secondary outcomes.,2
502,Calcipotriene foam was safe with an overall incidence of AEs similar to those experienced in the vehicle foam group.,16
503,Application-site reactions were noted in approximately 1-2% of subjects in each group.,16
504,No AE was reported in more than 2% of subjects in the calcipotriene foam group.,16
505,Treatment was discontinued because of AEs in approximately 2% of subjects in both groups.,16
506,"CONCLUSIONS: In two identically designed, phase III clinical trials, calcipotriene 0.005% foam was safe and effective for the treatment of mild to moderate plaque-type psoriasis for up to 8 weeks.",7
507,CLINICAL TRIAL REGISTRATION: Registered at clinicaltrials.gov: NCT00688519 and NCT00689481.,17
508,BACKGROUND: Ixekizumab is a humanised monoclonal antibody against the proinflammatory cytokine interleukin 17A.,12
509,We report two studies of ixekizumab compared with placebo or etanercept to assess the safety and efficacy of specifically targeting interleukin 17A in patients with widespread moderate-to-severe psoriasis.,2
510,"METHODS: In two prospective, double-blind, multicentre, phase 3 studies (UNCOVER-2 and UNCOVER-3), eligible patients were aged 18 years or older, had a confirmed diagnosis of chronic plaque psoriasis at least 6 months before baseline (randomisation), 10% or greater body-surface area involvement at both screening and baseline visits, at least a moderate clinical severity as measured by a static physician global assessment (sPGA) score of 3 or more, and a psoriasis area and severity index (PASI) score of 12.",17
511,"Participants were randomly assigned (1:2:2:2) by computer-generated random sequence with an interactive voice response system to receive subcutaneous placebo, etanercept (50 mg twice weekly), or one injection of 80 mg ixekizumab every 2 weeks, or every 4 weeks after a 160 mg starting dose.",17
512,Blinding was maintained with a double-dummy design.,17
513,Coprimary efficacy endpoints were proportions of patients achieving sPGA score 0 or 1 and 75% or greater improvement in PASI at week 12.,17
514,Analysis was by intention to treat.,17
515,"These trials are registered with ClinicalTrials.gov, numbers NCT01597245 and NCT01646177.",17
516,"FINDINGS: Between May 30, 2012, and Dec 30, 2013, 1224 patients in UNCOVER-2 were randomly assigned to receive subcutaneous placebo (n=168), etanercept (n=358), or ixekizumab every 2 weeks (n=351) or every 4 weeks (n=347); between Aug 11, 2012, and Feb 27, 2014, 1346 patients in UNCOVER-3 were randomly assigned to receive placebo (n=193), etanercept (n=382), ixekizumab every 2 weeks (n=385), or ixekizumab every 4 weeks (n=386).",17
517,"At week 12, both primary endpoints were met in both studies.",7
518,"For UNCOVER-2 and UNCOVER-3 respectively, in the ixekizumab every 2 weeks group, PASI 75 was achieved by 315 (response rate 89Â·7%; [effect size 87Â·4% (97Â·5% CI 82Â·9-91Â·8) vs placebo; 48Â·1% (41Â·2-55Â·0) vs etanercept]) and 336 (87Â·3%; [80Â·0% (74Â·4-85Â·7) vs placebo; 33Â·9% (27Â·0-40Â·7) vs etanercept]) patients; in the ixekizumab every 4 weeks group, by 269 (77Â·5%; [75Â·1% (69Â·5-80Â·8) vs placebo; 35Â·9% (28Â·2-43Â·6) vs etanercept]) and 325 (84Â·2%; [76Â·9% (71Â·0-82Â·8) vs placebo; 30Â·8% (23Â·7-37Â·9) vs etanercept]) patients; in the placebo group, by four (2Â·4%) and 14 (7Â·3%) patients; and in the etanercept group by 149 (41Â·6%) and 204 (53Â·4%) patients (all p<0Â·0001 vs placebo or etanercept).",2
519,"In the ixekizumab every 2 weeks group, sPGA 0/1 was achieved by 292 (response rate 83Â·2%; [effect size 80Â·8% (97Â·5% CI 75Â·6-86Â·0) vs placebo; 47Â·2% (39Â·9-54Â·4) vs etanercept]) and 310 (80Â·5%; [73Â·8% (67Â·7-79Â·9) vs placebo; 38Â·9% (31Â·7-46Â·1) vs etanercept]) patients; in the ixekizumab every 4 weeks group by 253 (72Â·9%; [70Â·5% (64Â·6-76Â·5) vs placebo; 36Â·9% (29Â·1-44Â·7) vs etanercept]) and 291 (75Â·4%; [68Â·7% (62Â·3-75Â·0) vs placebo; 33Â·8% (26Â·3-41Â·3) vs etanercept]) patients; in the placebo group by four (2Â·4%) and 13 (6Â·7%) patients; and in the etanercept group by 129 (36Â·0%) and 159 (41Â·6%) patients (all p<0Â·0001 vs placebo or etanercept).",2
520,"In combined studies, serious adverse events were reported in 14 (1Â·9%) of 734 patients given ixekizumab every 2 weeks, 14 (1Â·9%) of 729 given ixekizumab every 4 weeks, seven (1Â·9%) of 360 given placebo, and 14 (1Â·9%) of 739 given etanercept; no deaths were noted.",16
521,INTERPRETATION: Both ixekizumab dose regimens had greater efficacy than placebo and etanercept over 12 weeks in two independent studies.,2
522,These studies show that selectively neutralising interleukin 17A with a high affinity antibody potentially gives patients with psoriasis a new and effective biological therapy option.,12
523,Autoinflammatory syndromes and diseases are a group of disorders of innate immunity.,10
524,This group has grown rapidly in recent years as a result of research advancements in molecular biology and genetics.,17
525,These diseases often present with skin manifestations and the dermatologist may not recognize the constellation of symptoms and medical history as a systemic inflammatory disease.,18
526,Dermatologists would benefit from a deeper understanding of these diseases and the new treatments available for them.,13
527,Only a few corticosteroids for topical use have been proven safe and effective in pediatric populations down to 3 months of age.,7
528,The authors examined the systemic safety (adrenal suppression potential) of topically applied hydrocortisone butyrate 0.1% cream (proprietary lipid rich cream vehicle) in the treatment of moderate to severe atopic dermatitis in pediatric patients aged 3 months to 6 years and 12 years to 18 years.,5
529,An open-label hypothalamic-pituitary-adrenal axis suppression study was conducted wherein the sole treatment was 0.1% proprietary lipid rich cream vehicle.,17
530,A total of 65 patients with moderate to severe atopic dermatitis and body surface area involvement of at least 25% were included in the treatment phase of the study based on the requirement that these patients had normal baseline cortisol and hypothalamic-pituitary-adrenal system function.,17
531,All signs and symptoms of atopic dermatitis showed progressive improvement beginning with day 8 through the day 29 evaluation.,7
532,"Pruritus showed the greatest improvement, with a decrease in grade of 1.3 at day 8, and continued to show improvement at day 29, with a decrease of 1.8 from baseline.",7
533,"The percent body surface area affected at baseline averaged 40.5%, and it decreased significantly to a mean of 6.5% at day 29.",7
534,Only 5 (8%) of the 63 patients showed laboratory evidence of adrenal suppression at the end of the treatment evaluation.,16
535,None of these ever demonstrated any clinical signs or symptoms of adrenal suppression.,16
536,"This study adds hydrocortisone butyrate 0.1% cream, to the short list of corticosteroids that have been proven effective and safe by the cosyntropin suppression test in children 3 months and older with widespread atopic dermatitis.",7
537,"Cryosurgery is a therapeutic modality useful for treating cutaneous benign, premalignant, and malignant lesions.",5
538,It consists of lowering lesional temperature below a critical level to cause its destruction.,12
539,"Lowering skin temperatures without the intent to directly cause lesional destruction (to trigger an immune mechanism, for example) is termed cryotherapy.",12
540,"Atopic dermatitis (AD) is commonly associated with immunoglobulin E (IgE) antibody-related mechanisms, which are the focus of this article.",10
541,"The vast majority of patients with AD exhibit hyperproduction of IgE, particularly during disease onset or flare.",10
542,IgE-dependent late-phase reactions may influence the chronic inflammatory response in AD.,10
543,"Clearly, genetics plays a major role in determining who develops AD.",10
544,"However, the recent increase in AD prevalence suggests that a complex interaction between environmental factors and susceptibility genes results in clinical expression of the disorder.",10
545,"These immunologic ""triggers"" differ among individuals and include various foods, airborne allergens, irritants and contactants, hormones, stress, climate, and microorganisms.",15
